id,mutated,cleaned
60,lodsd;sub eax ebx;push 2F07h;mov [esp] ecx;mov ecx 5076B697h;add eax ecx;mov ecx [esp];push edi;mov edi esp;add edi 4;add edi 4;xchg edi [esp];pop esp;push 6A24h;mov [esp] edx;mov edx 7E1Ch;add edx 6C0B74DCh;add eax edx;mov edx [esp];add esp 4;xor ebx eax;push dword ptr [eax];,pop ax;btc [esp] ax;pushf;
61,push eax;push dword ptr [esp+4];mov eax [esp];add esp 4;pop dword ptr [esp];not eax;push eax;push dword ptr [esp+4];pop eax;pop dword ptr [esp];,pop ax;sbb [esp] ax;pushf;
62,mov cx [esp];push edx;push esp;pop edx;add edx 4;push ebp;mov ebp 2;add edx ebp;pop ebp;xchg edx [esp];pop esp;shl dword ptr [esp] cl;pushf;,neg word ptr [esp];
63,mov ax [esp];push edx;mov edx esp;push 5CF1h;mov [esp] ebx;mov ebx 4;add edx ebx;pop ebx;add edx 2;xchg edx [esp];pop esp;bts [esp] ax;pushf;,lodsb;sub al bl;xor al 0F0h;sub al 67h;xor bl al;movzx eax al;mov eax [edi+eax*4];push small word ptr [eax];
64,lodsb;add al bl;push ebx;mov ebx esp;add ebx 4;sub ebx 4;xchg ebx [esp];pop esp;mov [esp] edx;mov dh 0B7h;sub al dh;mov edx [esp];add esp 4;push dx;mov dl 0;push edx;not byte ptr [esp];pop edx;inc dl;inc dl;neg dl;add dl 0AEh;sub al dl;mov dx [esp];add esp 2;add bl al;push edx;push ebx;mov ebx 38h;mov edx ebx;pop ebx;add edx edi;mov [edx] al;push dword ptr [esp];pop edx;add esp 4;,or dword ptr [edi+1Ch] 200h;
65,mov ax fs:[edx];push eax;push esp;pop eax;add eax 4;sub eax 2;push eax;push dword ptr [esp+4];pop eax;pop dword ptr [esp];pop esp;mov [esp] ax;,pop eax;pop ecx;movsx ecx al;push ecx;
66,push ebp;mov ebp 1;or [edi+1Ch] ebp;mov ebp [esp];push ebp;mov ebp esp;add ebp 4;add ebp 4;xchg ebp [esp];mov esp [esp];,pop eax;and [esp] eax;pushf;
67,mov ax [esp];push edx;push esp;pop edx;push ecx;mov ecx 4;add edx ecx;pop ecx;add edx 2;xchg edx [esp];pop esp;sub esp 4;mov [esp] ebx;mov ebx 0;add ebx edx;push edx;mov edx 0;add edx ebx;mov [edx] al;pop edx;mov ebx [esp];add esp 4;,pop cx;rcr dword ptr [esp] cl;pushf;
68,mov ax [esp];sub esp 4;mov [esp] ecx;mov ecx esp;add ecx 4;add ecx 2;xchg ecx [esp];mov esp [esp];dec byte ptr [esp];pushf;,pop eax;pop ecx;movzx ecx ax;push ecx;
69,neg dword ptr [esp];pushf;,pop ax;pop cx;imul cx ax;push cx;pushf;
70,mov eax [esp];push 75A5h;mov [esp] ecx;mov ecx esp;add ecx 4;add ecx 4;xor ecx [esp];xor [esp] ecx;xor ecx [esp];pop esp;add [esp] eax;pushf;,pop cx;pop ax;idiv  cx;push dx;push ax;pushf;
71,xor [esp] bp;xor bp [esp];xor [esp] bp;xchg di bp;xchg dx di;not dx;xchg dx di;xchg di bp;xchg bp [esp];,pop edx;
72,push dword ptr [edx];,pop cx;pop ax;mul  cl;movzx cx ah;push cx;movzx cx al;push cx;pushf;
73,neg word ptr [esp];pushf;,pop esp;
74,push dword ptr [edi+1Ch];popf;pop ax;sbb [esp] ax;pushf;,lodsd;cmp dword ptr [edi+20h] 0;jz loc_40785C;add esi eax;mov ebx 0;label_40785c:;mov eax eax;
75,push esp;mov edx [esp];push edx;mov edx esp;add edx 4;push eax;mov eax 4;add edx eax;pop eax;xchg edx [esp];pop esp;,lodsb;add al bl;xor al 0C9h;xor al 1;add bl al;movzx eax al;push ax;
76,push small word ptr [edx];,pop ax;pop cx;test cl al;pushf;
77,mov ax [esp];push eax;mov eax esp;push ebp;mov ebp 4;add eax ebp;pop ebp;add eax 2;xor eax [esp];xor [esp] eax;xor eax [esp];pop esp;btr [esp] ax;pushf;,lodsd;add eax ebx;xor eax 5036D8F9h;add eax 42FBE8F8h;sub ebx eax;push dword ptr [eax];
78,lodsb;add al bl;push 5FB1h;mov [esp] ecx;mov cl 21h;add al cl;push dword ptr [esp];pop ecx;add esp 4;push ecx;mov cl 69h;add cl 0FFh;sub cl 67h;xor cl 0DDh;xor al cl;mov ecx [esp];add esp 4;add bl al;movzx eax al;mov eax [edi+eax*4];add edx eax;,pop cx;sar dword ptr [esp] cl;pushf;
79,mov cx [esp];push ecx;mov ecx esp;add ecx 4;push ebx;mov ebx 2;add ecx ebx;mov ebx [esp];add esp 4;xchg ecx [esp];pop esp;sar dword ptr [esp] cl;pushf;,pop cx;rcl dword ptr [esp] cl;pushf;
80,push dword ptr [edi+1Ch];popf;pop ax;adc [esp] ax;pushf;,pop eax;pop ecx;movzx ecx al;push ecx;
81,sub esp 4;mov [esp] ebx;push edx;push edi;mov edi 0FFFFFDFFh;mov edx edi;pop edi;mov ebx edx;pop edx;and [edi+1Ch] ebx;pop ebx;,lodsb;add al bl;sub al 2Dh;add al 84h;sub bl al;movzx eax al;pop dx;mov [edi+eax*4+1] dl;
82,mov ecx [esp];push ebx;mov ebx esp;push ecx;mov ecx 4;add ebx ecx;pop ecx;push ebp;mov ebp 4;add ebx ebp;pop ebp;xchg ebx [esp];pop esp;shl dword ptr [esp] cl;,neg byte ptr [esp];
83,mov cx [esp];push esi;mov esi esp;push edi;mov edi 4;add esi edi;pop edi;add esi 2;push esi;push dword ptr [esp+4];pop esi;pop dword ptr [esp];pop esp;shl byte ptr [esp] cl;pushf;,not dword ptr [esp];
84,lodsd;xor eax ebx;push ebx;sub esp 4;mov [esp] ecx;mov ecx 5686h;xor ecx 53A6h;or ecx 2B49h;sub ecx 0FB07D16Ah;mov ebx ecx;pop ecx;add eax ebx;pop ebx;sub esp 4;mov [esp] ebx;mov ebx 4D1928C3h;xor eax ebx;push dword ptr [esp];pop ebx;add esp 4;xor ebx eax;push eax;push dword ptr [esp];mov edx [esp];add esp 4;add esp 4;,pop eax;bt [esp] eax;pushf;
85,mov cx [esp];sub esp 4;mov [esp] edi;mov edi esp;add edi 4;push edx;mov edx 2;add edi edx;pop edx;xchg edi [esp];pop esp;mov ax [esp];push ecx;mov ecx esp;add ecx 4;push esi;mov esi 2;add ecx esi;pop esi;push ecx;push dword ptr [esp+4];pop ecx;pop dword ptr [esp];pop esp;div  cl;movzx cx ah;push small 52A2h;mov [esp] cx;movzx cx al;push cx;pushf;,mov eax eax;
86,lodsb;add al bl;push edi;mov edi esp;add edi 4;sub edi 4;push edi;push dword ptr [esp+4];pop edi;pop dword ptr [esp];pop esp;mov [esp] ebx;mov bl 93h;add al bl;pop ebx;push ebx;mov bl 4Ch;xor al bl;mov ebx [esp];push edx;push esp;pop edx;add edx 4;add edx 4;xchg edx [esp];pop esp;add bl al;movzx eax al;mov dx [esp];push eax;mov eax esp;add eax 4;add eax 2;xor eax [esp];xor [esp] eax;xor eax [esp];mov esp [esp];mov [edi+eax*4+1] dl;,pop ax;bt [esp] ax;pushf;
87,mov ax [esp];sub esp 4;mov [esp] edx;mov edx esp;add edx 4;add edx 2;xchg edx [esp];pop esp;dec word ptr [esp];pushf;,pop ax;pop cx;cmp cx ax;pushf;
88,push dword ptr [edi+1Ch];popf;pop cx;rcl byte ptr [esp] cl;pushf;,pop ax;add [esp] al;pushf;
89,mov ecx [esp];push 5658h;mov [esp] ecx;mov ecx esp;add ecx 4;add ecx 4;xchg ecx [esp];mov esp [esp];mov eax [esp];push esi;mov esi esp;add esi 4;push edx;push esi;mov esi 4;mov edx esi;pop esi;add esi edx;pop edx;xchg esi [esp];pop esp;movsx ecx al;sub esp 4;mov [esp] ebx;mov ebx esp;add ebx 4;sub ebx 4;xchg ebx [esp];mov esp [esp];mov [esp] ecx;,pop eax;bswap eax;push eax;
90,push dword ptr [esp];pop ecx;push ecx;mov ecx esp;add ecx 4;add ecx 4;xor ecx [esp];xor [esp] ecx;xor ecx [esp];pop esp;push dword ptr [esp];pop eax;push eax;mov eax esp;add eax 4;add eax 4;xor eax [esp];xor [esp] eax;xor eax [esp];pop esp;push dword ptr [esp];mov edx [esp];add esp 4;push ebx;mov ebx esp;add ebx 4;add ebx 4;xchg ebx [esp];pop esp;idiv  ecx;push 59C7h;mov [esp] edx;push eax;pushf;,pop dword ptr [edx];
91,push dword ptr [esp];mov ecx [esp];add esp 4;push edi;mov edi esp;add edi 4;add edi 4;xchg edi [esp];pop esp;push dword ptr [esp];mov eax [esp];push ebp;mov ebp esp;add ebp 4;add ebp 4;xchg ebp [esp];pop esp;add esp 4;movzx ecx ax;sub esp 4;mov [esp] eax;mov eax esp;add eax 4;push ebp;mov ebp 4;sub eax ebp;pop ebp;xchg eax [esp];pop esp;mov [esp] ecx;,and dword ptr [edi+0] 0;
92,mov eax [esp];push ecx;mov ecx esp;add ecx 4;push esi;mov esi 4;add ecx esi;mov esi [esp];add esp 4;xchg ecx [esp];pop esp;and [esp] eax;pushf;,pop eax;pop ecx;imul ecx eax;push ecx;pushf;
93,push dword ptr [esp];mov eax [esp];add esp 4;push ebx;mov ebx esp;add ebx 4;add ebx 4;xchg ebx [esp];pop esp;push dword ptr [eax];,pop eax;or [esp] eax;pushf;
94,mov ax [esp];push ecx;mov ecx esp;push 253Bh;mov [esp] edi;mov edi 4;add ecx edi;pop edi;add ecx 2;xchg ecx [esp];pop esp;xor [esp] al;pushf;,pop ecx;pop eax;mul  ecx;push edx;push eax;pushf;
95,push dword ptr [edi+1Ch];popf;pop cx;rcr word ptr [esp] cl;pushf;,pop dword ptr [edx];
96,lodsw;xor ax bx;sub esp 2;mov [esp] bx;push bp;mov bp 0CFF7h;mov bx bp;pop bp;add ax bx;mov bx [esp];add esp 2;push bx;push dx;push small 1D7Fh;mov [esp] si;mov si 0F1B5h;mov dx si;pop si;mov bx dx;pop dx;add ax bx;pop bx;xor bx ax;movzx eax ax;push small 38E0h;mov [esp] ax;,pop cx;shl dword ptr [esp] cl;pushf;
97,mov cx [esp];push edx;push esp;pop edx;add edx 4;add edx 2;push edx;push dword ptr [esp+4];pop edx;pop dword ptr [esp];pop esp;ror dword ptr [esp] cl;pushf;,pop ax;xor [esp] al;pushf;
98,push dword ptr [edi+1Ch];popf;pop cx;rcr dword ptr [esp] cl;pushf;,lodsb;sub al bl;xor al 44h;sub al 0E0h;add bl al;movzx eax al;mov eax [edi+eax*4];add edx eax;
99,push ebx;mov ebx 0F06h;inc ebx;shr ebx 15h;push ecx;mov ecx 6156h;xor ebx ecx;pop ecx;add ebx 4114h;shl ebx 7;push ecx;mov ecx 51351Ch;xor ebx ecx;pop ecx;add ebx edi;mov eax [ebx];pop ebx;push 67E0h;mov [esp] edx;mov edx 1;and eax edx;mov edx [esp];push edx;mov edx esp;add edx 4;add edx 4;xchg edx [esp];pop esp;or eax eax;push eax;mov eax 3B02h;not eax;push ecx;mov ecx 0FFFFC3FFh;sub eax ecx;pop ecx;and [edi+1Ch] eax;mov eax [esp];add esp 4;push 3328h;mov [esp] ebx;mov ebx [esp];push ecx;mov ecx esp;add ecx 4;add ecx 4;xchg ecx [esp];pop esp;,and dword ptr [edi+1Ch] 0FFFFFBFFh;
