id,mutated,cleaned
128,push dword ptr [esp];pop ecx;push ecx;mov ecx esp;add ecx 4;add ecx 4;xchg ecx [esp];mov esp [esp];push dword ptr [esp];mov eax [esp];push ebp;mov ebp esp;add ebp 4;add ebp 4;xchg ebp [esp];pop esp;add esp 4;movzx ecx al;push ebx;mov ebx esp;add ebx 4;push esi;mov esi 4;sub ebx esi;pop esi;xor ebx [esp];xor [esp] ebx;xor ebx [esp];pop esp;mov [esp] ecx;,push edx;
129,mov sp [esp];,pop eax;dec dword ptr [esp];pushf;
130,mov eax [esp];push 6829h;mov [esp] edx;mov edx esp;add edx 4;add edx 4;xchg edx [esp];mov esp [esp];mov ecx [esp];push ecx;mov ecx esp;push esi;mov esi 4;add ecx esi;pop esi;push edi;mov edi 4;add ecx edi;pop edi;xchg ecx [esp];pop esp;push ebx;mov ebx 148Fh;push ecx;mov ecx 3C96h;and ebx ecx;pop ecx;sub ebx 1486h;add ebx eax;mov [ebx] ecx;mov ebx [esp];add esp 4;,pop eax;sub [esp] eax;
131,lodsb;sub al bl;push ecx;mov ch 31h;add ch 22h;not ch;inc ch;xor ch 0F3h;or ch 23h;add ch 0ACh;sub al ch;mov ecx [esp];add esp 4;push cx;push bx;mov bl 0D1h;mov cl bl;pop bx;push bx;mov bh 99h;sub cl bh;pop bx;sub al cl;pop cx;add bl al;movzx eax al;lea eax [edi+eax*4];push 1DCh;mov [esp] eax;,pop eax;inc dword ptr [esp];pushf;
132,push dword ptr [esp+4];push dword ptr [esp];mov eax [esp];add esp 4;add esp 4;push ebx;mov ebx 3202h;shl ebx 6;or ebx 5FD0h;inc ebx;xor ebx 0CDFEDh;add ebx edi;push ecx;mov ecx 0;jmp $+5;add ecx ebx;mov [ecx] eax;mov ecx [esp];add esp 4;pop ebx;mov eax [esp];push eax;mov eax esp;push edi;mov edi 4;add eax edi;pop edi;push ebp;mov ebp 4;add eax ebp;pop ebp;xchg eax [esp];pop esp;push eax;push esp;pop eax;add eax 4;push esi;mov esi 4;add eax esi;pop esi;xchg eax [esp];mov esp [esp];sub esp 4;mov [esp] ecx;mov ecx esp;push edi;mov edi 4;add ecx edi;pop edi;sub ecx 4;xchg ecx [esp];pop esp;mov [esp] eax;,pop cx;shl word ptr [esp] cl;pushf;
133,mov eax [esp];push edx;push esp;pop edx;push ecx;mov ecx 4;add edx ecx;pop ecx;add edx 4;xchg edx [esp];pop esp;sub [esp] eax;,pop cx;rcl word ptr [esp] cl;pushf;
134,push ecx;push edx;mov edx 0;mov ecx edx;pop edx;push ecx;pop ebx;mov ecx [esp];add esp 4;,lodsw;xor ax bx;add ax 0CFF7h;add ax 0F1B5h;xor bx ax;movzx eax ax;push ax;
135,mov cx [esp];sub esp 4;mov [esp] ebp;mov ebp esp;add ebp 4;add ebp 2;xchg ebp [esp];mov esp [esp];mov ax [esp];push ecx;push esp;pop ecx;add ecx 4;add ecx 2;xor ecx [esp];xor [esp] ecx;xor ecx [esp];pop esp;mov dx [esp];push edi;push 39AFh;mov [esp] esp;add dword ptr [esp] 4;pop edi;add edi 4;add edi 2;xchg edi [esp];pop esp;idiv  cx;push small 3950h;mov [esp] dx;push ax;pushf;,pop ax;btr [esp] ax;pushf;
136,mov cx [esp];push esi;push esp;mov esi [esp];add esp 4;add esi 4;add esi 2;xchg esi [esp];pop esp;rol dword ptr [esp] cl;pushf;,pop eax;pop ecx;movsx ecx ax;push ecx;
137,push esi;push edx;mov edx 0FEh;mov esi edx;pop edx;and [edi+1Ch] esi;push dword ptr [esp];pop esi;add esp 4;,lodsd;sub eax ebx;xor eax 67AD95B8h;sub eax 0C1BEF7Ch;sub ebx eax;pop small word ptr [eax];
138,mov ecx [esp];push ebp;mov ebp esp;push esi;mov esi 4;add ebp esi;pop esi;push eax;mov eax 4;add ebp eax;pop eax;xchg ebp [esp];pop esp;push dword ptr [esp];pop eax;push ebx;mov ebx esp;add ebx 4;add ebx 4;push ebx;push dword ptr [esp+4];pop ebx;pop dword ptr [esp];pop esp;mul  ecx;sub esp 4;mov [esp] edx;push esp;pop edx;add edx 4;sub edx 4;xchg edx [esp];pop esp;mov [esp] edx;push eax;pushf;,push small word ptr [edx];
139,lodsb;xor al bl;push dx;push bx;push dx;mov dl 0B1h;mov bl dl;pop dx;mov dl bl;mov bx [esp];add esp 2;xor al dl;pop dx;push bx;mov bh 0F2h;add bh 2;add al bh;mov bx [esp];push ebp;mov ebp esp;add ebp 4;add ebp 2;xchg ebp [esp];pop esp;xor bl al;movzx eax al;mov dx [esp];sub esp 4;mov [esp] edx;mov edx esp;add edx 4;add edx 2;xchg edx [esp];mov esp [esp];mov [edi+eax*4] dl;,pop ax;bts [esp] ax;pushf;
140,mov ax [esp];push ecx;push esp;pop ecx;add ecx 4;push eax;mov eax 2;add ecx eax;pop eax;xchg ecx [esp];pop esp;bts [esp] ax;pushf;,pop ax;sub [esp] ax;pushf;
141,lodsb;xor al bl;push ebx;mov bl 0CEh;sub al bl;mov ebx [esp];push edi;push esp;pop edi;add edi 4;add edi 4;xchg edi [esp];pop esp;push 2164h;mov [esp] edx;sub esp 2;mov [esp] cx;mov ch 39h;mov dl ch;pop cx;sub al dl;pop edx;add bl al;push eax;push esi;mov esi 3FCh;mov eax esi;pop esi;add edi eax;mov eax [esp];push edx;mov edx esp;add edx 4;add edx 4;xchg edx [esp];pop esp;movzx eax al;push dword ptr [edi+eax*4];push 2B42h;mov [esp] edx;mov edx 3FCh;sub edi edx;mov edx [esp];push ebp;mov ebp esp;add ebp 4;add ebp 4;xchg ebp [esp];pop esp;retn;,lodsb;xor al bl;sub al 98h;xor al 4Ah;add bl al;movzx eax al;mov eax [edi+eax*4];movzx ax byte ptr [eax];push ax;
142,pop small word ptr [edx];,pop cx;shr dword ptr [esp] cl;pushf;
143,mov eax [esp];sub esp 4;mov [esp] ecx;mov ecx esp;push esi;mov esi 4;add ecx esi;pop esi;add ecx 4;xchg ecx [esp];pop esp;inc dword ptr [esp];pushf;,pop edx;
144,push ebx;mov ebx esp;add ebx 4;sub ebx 4;xor ebx [esp];xor [esp] ebx;xor ebx [esp];pop esp;mov [esp] esi;mov esi 200h;or [edi+1Ch] esi;pop esi;,mov dword ptr [edi+30h] 0;popa;popf;retn;
145,mov cx [esp];push ebx;mov ebx esp;add ebx 4;push edi;mov edi 2;add ebx edi;pop edi;xchg ebx [esp];mov esp [esp];sar byte ptr [esp] cl;pushf;,pop cx;rcr byte ptr [esp] cl;pushf;
146,mov ax [esp];push ecx;mov ecx esp;push 26F1h;mov [esp] esi;mov esi 4;add ecx esi;pop esi;add ecx 2;xchg ecx [esp];pop esp;or [esp] ax;pushf;,or dword ptr [edi+1Ch] 1;
147,mov edx [esp];push ebp;push esp;pop ebp;add ebp 4;push ebx;mov ebx 4;add ebp ebx;pop ebx;xchg ebp [esp];pop esp;,pop eax;xor [esp] eax;pushf;
148,push dword ptr fs:[edx];,pop ax;dec byte ptr [esp];pushf;
149,lodsd;sub eax ebx;push ebx;mov ebx 353608E7h;add eax ebx;push dword ptr [esp];pop ebx;push esi;mov esi esp;add esi 4;add esi 4;xchg esi [esp];pop esp;push edi;push 264Ah;mov [esp] ecx;mov ecx 3F1E5F52h;mov edi ecx;mov ecx [esp];add esp 4;add eax edi;pop edi;xor ebx eax;pop dword ptr [eax];,pop ax;pop cx;movzx cx al;push cx;
